frame#,time,uid,x1,y1,x2,y2,lidar_d(ft),grnd_angle_d(ft),
1,2017-07-19 11:20:37.857,a8b75ddf-8804-4bfa-850f-9c687303f8f2,798.0,168.0,881.0,232.0,12345,23.7068965517,
2,2017-07-19 11:20:38.126,a8b75ddf-8804-4bfa-850f-9c687303f8f2,797.727294922,168.0,877.363647461,231.785125732,12345,23.728873812,
3,2017-07-19 11:20:38.198,a8b75ddf-8804-4bfa-850f-9c687303f8f2,796.809570312,168.355133057,873.445617676,231.459152222,12345,23.7622921678,
4,2017-07-19 11:20:38.258,a8b75ddf-8804-4bfa-850f-9c687303f8f2,793.531555176,168.83001709,869.535705566,230.906677246,12345,23.8191466163,
5,2017-07-19 11:20:38.307,a8b75ddf-8804-4bfa-850f-9c687303f8f2,789.691955566,169.329986572,864.655822754,229.938415527,12345,23.9194481156,
6,2017-07-19 11:20:38.364,a8b75ddf-8804-4bfa-850f-9c687303f8f2,785.445068359,168.902770996,860.179504395,229.190460205,12345,23.9975084263,
7,2017-07-19 11:20:38.413,a8b75ddf-8804-4bfa-850f-9c687303f8f2,779.842346191,169.46937561,852.938598633,228.286422729,12345,24.0925410028,
8,2017-07-19 11:20:38.458,a8b75ddf-8804-4bfa-850f-9c687303f8f2,775.116760254,168.854812622,849.063232422,227.418243408,12345,24.1845153563,
9,2017-07-19 11:20:38.503,a8b75ddf-8804-4bfa-850f-9c687303f8f2,770.593933105,169.849075317,845.847229004,226.168151855,12345,24.3181896075,
10,2017-07-19 11:20:38.557,a8b75ddf-8804-4bfa-850f-9c687303f8f2,767.821411133,170.547088623,842.535461426,225.807907104,12345,24.3569858581,
11,2017-07-19 11:20:38.605,a8b75ddf-8804-4bfa-850f-9c687303f8f2,765.111633301,170.951889038,840.252258301,225.569671631,12345,24.3827104958,
12,2017-07-19 11:20:38.651,a8b75ddf-8804-4bfa-850f-9c687303f8f2,763.958496094,171.611877441,833.819213867,224.53868103,12345,24.4946660182,
13,2017-07-19 11:20:38.697,a8b75ddf-8804-4bfa-850f-9c687303f8f2,761.628295898,171.570968628,826.479980469,224.09147644,12345,24.5435484087,
14,2017-07-19 11:20:38.745,a8b75ddf-8804-4bfa-850f-9c687303f8f2,756.907043457,171.925872803,821.52331543,223.484481812,12345,24.6102098697,
15,2017-07-19 11:20:38.792,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
16,2017-07-19 11:20:38.832,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
17,2017-07-19 11:20:38.875,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
18,2017-07-19 11:20:38.918,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
18,2017-07-19 11:20:38.918,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,722.0,172.0,770.0,213.0,12345,25.8215962441,
19,2017-07-19 11:20:38.964,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
19,2017-07-19 11:20:38.964,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,721.636352539,171.81817627,767.272705078,212.702484131,12345,25.8577139918,
20,2017-07-19 11:20:39.008,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
20,2017-07-19 11:20:39.008,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,721.636352539,171.81817627,767.272705078,212.702484131,12345,25.8577139918,
21,2017-07-19 11:20:39.048,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
21,2017-07-19 11:20:39.048,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,721.636352539,171.81817627,767.272705078,212.702484131,12345,25.8577139918,
22,2017-07-19 11:20:39.090,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
22,2017-07-19 11:20:39.090,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,721.636352539,171.81817627,767.272705078,212.702484131,12345,25.8577139918,
23,2017-07-19 11:20:39.131,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
23,2017-07-19 11:20:39.131,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,720.547119141,171.918869019,763.111206055,212.769805908,12345,25.8495324396,
24,2017-07-19 11:20:39.173,a8b75ddf-8804-4bfa-850f-9c687303f8f2,754.367370605,172.076385498,821.009521484,223.086868286,12345,24.6540732866,
24,2017-07-19 11:20:39.173,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,720.547119141,171.918869019,763.111206055,212.769805908,12345,25.8495324396,
25,2017-07-19 11:20:39.216,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,714.461547852,169.49546814,761.601928711,212.559341431,12345,25.8751272138,
26,2017-07-19 11:20:39.256,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,714.461547852,169.49546814,761.601928711,212.559341431,12345,25.8751272138,
27,2017-07-19 11:20:39.298,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
28,2017-07-19 11:20:39.338,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
29,2017-07-19 11:20:39.385,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
30,2017-07-19 11:20:39.425,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
31,2017-07-19 11:20:39.467,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,710.364318848,169.461212158,757.42175293,211.2474823,12345,26.0358132562,
32,2017-07-19 11:20:39.508,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,704.612792969,167.961593628,750.166015625,208.79069519,12345,26.3421700617,
33,2017-07-19 11:20:39.552,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,704.612792969,167.961593628,750.166015625,208.79069519,12345,26.3421700617,
34,2017-07-19 11:20:39.594,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,704.612792969,167.961593628,750.166015625,208.79069519,12345,26.3421700617,
35,2017-07-19 11:20:39.636,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,703.386474609,167.805130005,749.105041504,208.8621521,12345,26.3331577536,
36,2017-07-19 11:20:39.676,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,703.386474609,167.805130005,749.105041504,208.8621521,12345,26.3331577536,
37,2017-07-19 11:20:39.719,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,701.278137207,167.860183716,745.245849609,208.881729126,12345,26.3306897306,
38,2017-07-19 11:20:39.760,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,700.744873047,167.849304199,745.090026855,208.585754395,12345,26.3680519121,
39,2017-07-19 11:20:39.806,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,699.981872559,169.453918457,742.923156738,208.309692383,12345,26.4029961212,
40,2017-07-19 11:20:39.849,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,701.214233398,170.344665527,745.08026123,208.207778931,12345,26.4159198482,
41,2017-07-19 11:20:39.890,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,701.214233398,170.344665527,745.08026123,208.207778931,12345,26.4159198482,
42,2017-07-19 11:20:39.934,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,701.214233398,170.344665527,745.08026123,208.207778931,12345,26.4159198482,
43,2017-07-19 11:20:39.978,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
44,2017-07-19 11:20:40.022,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
45,2017-07-19 11:20:40.073,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
46,2017-07-19 11:20:40.120,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
47,2017-07-19 11:20:40.161,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
48,2017-07-19 11:20:40.209,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
49,2017-07-19 11:20:40.250,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
50,2017-07-19 11:20:40.289,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
51,2017-07-19 11:20:40.322,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
52,2017-07-19 11:20:40.365,a0d56b7d-bda9-4daa-b599-c6bf38f99f5a,698.578613281,171.134002686,739.148254395,207.364257812,12345,26.5233751372,
